run_name,seed,dataset,model,beta,beta_schedule,aux_enabled,strategy,lookahead,sigma,detach_target,normalize_gradients,skip_last_aux_layers,max_epochs,train_subset,val_subset,test_subset,val_acc,val_total_loss,test_acc,test_total_loss,duration_seconds,best_checkpoint,log_dir,beta_mode,direct_hidden_target
stage1_gradnorm_True_seed1,1,mnist,mlp,0.5,,True,gaussian,2,1.0,True,True,,6,1.0,1.0,1.0,0.9480999708175659,0.09428717941045761,0.9508000016212463,0.08782189339399338,110.59747219085693,C:\Users\DavWi\Main\Projekte\greedy_auxiliary_loss\results\checkpoints\stage1_gradnorm_True_seed1\best.ckpt,results\lightning_logs\stage1_gradnorm_True_seed1,,
stage1_strategy_exp_seed0,0,mnist,mlp,0.4,,True,exponential,2,1.0,True,False,,6,1.0,1.0,1.0,0.9750000238418579,0.05512603744864464,0.975600004196167,0.05091435834765434,102.32559275627136,C:\Users\DavWi\Main\Projekte\greedy_auxiliary_loss\results\checkpoints\stage1_strategy_exp_seed0\best.ckpt,results\lightning_logs\stage1_strategy_exp_seed0,,
stage1_strategy_exp_seed1,1,mnist,mlp,0.4,,True,exponential,2,1.0,True,False,,6,1.0,1.0,1.0,0.9769999980926514,0.0512734018266201,0.9782999753952026,0.04809855297207832,102.58118534088135,C:\Users\DavWi\Main\Projekte\greedy_auxiliary_loss\results\checkpoints\stage1_strategy_exp_seed1\best.ckpt,results\lightning_logs\stage1_strategy_exp_seed1,,
stage1_strategy_fixed1_seed0,0,mnist,mlp,0.4,,True,fixed,1,1.0,True,False,,6,1.0,1.0,1.0,0.9745000004768372,0.058589689433574677,0.9749000072479248,0.055032629519701004,89.12814617156982,C:\Users\DavWi\Main\Projekte\greedy_auxiliary_loss\results\checkpoints\stage1_strategy_fixed1_seed0\best.ckpt,results\lightning_logs\stage1_strategy_fixed1_seed0,,
stage1_strategy_fixed1_seed1,1,mnist,mlp,0.4,,True,fixed,1,1.0,True,False,,6,1.0,1.0,1.0,0.9768000245094299,0.05596571043133736,0.9768999814987183,0.053375083953142166,89.71914100646973,C:\Users\DavWi\Main\Projekte\greedy_auxiliary_loss\results\checkpoints\stage1_strategy_fixed1_seed1\best.ckpt,results\lightning_logs\stage1_strategy_fixed1_seed1,,
stage1_strategy_fixed2_seed0,0,mnist,mlp,0.4,,True,fixed,2,1.0,True,False,,6,1.0,1.0,1.0,0.9746999740600586,0.05364616587758064,0.9771999716758728,0.048557594418525696,90.8825101852417,C:\Users\DavWi\Main\Projekte\greedy_auxiliary_loss\results\checkpoints\stage1_strategy_fixed2_seed0\best.ckpt,results\lightning_logs\stage1_strategy_fixed2_seed0,,
stage1_strategy_fixed2_seed1,1,mnist,mlp,0.4,,True,fixed,2,1.0,True,False,,6,1.0,1.0,1.0,0.9768000245094299,0.053127460181713104,0.9779999852180481,0.047614600509405136,91.88768267631531,C:\Users\DavWi\Main\Projekte\greedy_auxiliary_loss\results\checkpoints\stage1_strategy_fixed2_seed1\best.ckpt,results\lightning_logs\stage1_strategy_fixed2_seed1,,
stage1_strategy_gaussian_seed0,0,mnist,mlp,0.4,,True,gaussian,2,1.0,True,False,,6,1.0,1.0,1.0,0.9751999974250793,0.05372723564505577,0.9754999876022339,0.05093178153038025,93.99109411239624,C:\Users\DavWi\Main\Projekte\greedy_auxiliary_loss\results\checkpoints\stage1_strategy_gaussian_seed0\best.ckpt,results\lightning_logs\stage1_strategy_gaussian_seed0,,
stage1_strategy_gaussian_seed1,1,mnist,mlp,0.4,,True,gaussian,2,1.0,True,False,,6,1.0,1.0,1.0,0.9779000282287598,0.05291719362139702,0.9767000079154968,0.04974447935819626,93.3169915676117,C:\Users\DavWi\Main\Projekte\greedy_auxiliary_loss\results\checkpoints\stage1_strategy_gaussian_seed1\best.ckpt,results\lightning_logs\stage1_strategy_gaussian_seed1,,
stage1_strategy_output_seed0,0,mnist,mlp,0.4,,True,output,1,1.0,True,False,,6,1.0,1.0,1.0,0.9746000170707703,0.055098481476306915,0.9764000177383423,0.0512821301817894,98.06227993965149,C:\Users\DavWi\Main\Projekte\greedy_auxiliary_loss\results\checkpoints\stage1_strategy_output_seed0\best.ckpt,results\lightning_logs\stage1_strategy_output_seed0,,
